lane,shipment_count,total_emissions,average_emissions,average_utilization,average_transit_time_hrs,average_speed_kmph,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Ahmedabad - Kochi,2,2818.4,1409.2,63.9777315995953,43.5,54.5,0.2355,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Kolkata,1,1457.6,1457.6,44.5466836502438,44.7,57,0.4776,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Ahmedabad - Lucknow,1,708.1,708.1,41.1113642973649,27.4,55,0.1181,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Ludhiana,1,733.5,733.5,60.4647954573465,27.2,55,0.2901,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Madurai,5,7203.1,1440.62,74.8480749729753,43.76,56.6,0.16762,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Ahmedabad - Mangalore,2,2015.8,1007.9,91.411990750118,33.35,56,0.1318,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Mumbai,1,420.8,420.8,83.8346279060634,17.3,45,0.1007,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Nagpur,3,1855,618.333333333333,71.5504245177843,21.3,54.3333333333333,0.3145,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Nashik,1,290.8,290.8,46.2420558846635,12.5,53,0.0711,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Panipat,4,3289.1,822.275,73.9153994506185,25.325,52.75,0.107725,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Prayagraj,1,925.7,925.7,66.8549740260219,30.6,52,0.0719,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Pune,2,995.6,497.8,67.663116098345,20.2,43.5,0.08895,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Raipur,2,1657,828.5,52.9013370369624,29.15,51.5,0.06235,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Rajkot,3,521.8,173.933333333333,70.9719817517127,9.63333333333333,40.3333333333333,0.1326,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Ranchi,1,1250.5,1250.5,35.9447298304357,41.4,49,0.0376,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Rohtak,2,1276.3,638.15,65.2268352374755,23.15,54,0.11865,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Salem,1,1277.4,1277.4,51.8419346535641,39,57,0.1753,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Sonipat,1,638.6,638.6,41.3101012558369,24.3,53,0.0721,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Surat,1,271.2,271.2,35.0119986741585,11.6,32,0.0479,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Thiruvananthapuram,3,5058.9,1686.3,69.9250612727309,51.0666666666667,51.3333333333333,0.2326,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Tirupati,2,2061.6,1030.8,54.0849885171518,36.4,56,0.3118,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Udaipur,2,382.9,191.45,89.5705413247852,7.75,52.5,0.28795,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Vadodara,1,87.2,87.2,68.106131693522,6.6,41,0.1473,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Vijayawada,1,1133.4,1133.4,83.6618283192297,35.3,50,0.0529,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Visakhapatnam,3,3386.6,1128.86666666667,75.0858472999355,37.2,54,0.0986333333333333,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Agra,1,548.9,548.9,72.0165248593781,19.3,50,0.0681,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Aurangabad,3,3485.1,1161.7,81.580744025156,36.2333333333333,57.3333333333333,0.0645,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Bangalore,4,7800.9,1950.225,85.3201503658542,59.825,53.5,0.086975,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Amritsar - Bhopal,5,4177.9,835.58,77.5385203381097,26.6,60.2,0.14622,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Bilaspur,1,1184.3,1184.3,92.9915906003566,35.7,57,0.0687,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Delhi,1,318.9,318.9,51.0291882714507,13.3,53,0.0983,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Amritsar - Durgapur,2,2638.5,1319.25,64.8866511604258,40.1,60,0.09535,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Faridabad,1,567.1,567.1,68.1085892542002,17.6,40,0.0457,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Ghaziabad,1,568.7,568.7,86.2286201435529,17.1,40,0.0494,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Guntur,2,3327.8,1663.9,95.2220633860238,48.6,57,0.06905,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Amritsar - Gurgaon,3,1180,393.333333333333,67.6726311574998,13.9,52.6666666666667,0.1195,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Guwahati,2,2670.9,1335.45,71.939441774062,44.4,62,0.39745,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Indore,1,831.9,831.9,81.095906607566,29,57,0.1637,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Jabalpur,1,820.6,820.6,75.3966854388498,28.4,62,0.2738,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Kanpur,2,1433.4,716.7,73.9996133219082,22.25,56.5,0.0879,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Kota,2,1267.8,633.9,63.8302539681012,19.7,60,0.24375,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Lucknow,2,1959.6,979.8,89.2874844763748,28.45,43.5,0.04635,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Ludhiana,1,130.3,130.3,89.7228117844517,6,47,0.0845,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Mangalore,2,3332.3,1666.15,64.3237654164965,54.05,59.5,0.2849,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Nagpur,1,1258.3,1258.3,82.3338733259231,38.9,50,0.0482,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Nashik,4,4464.1,1116.025,81.8939506989036,34.025,61.5,0.13255,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Noida,2,887.6,443.8,83.0260048597163,14.75,50,0.0693,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Panipat,4,1295.4,323.85,60.3035471925087,11.975,50.25,0.110125,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Patna,2,2004.2,1002.1,64.3065223132751,34.75,56,0.1154,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Prayagraj,1,799.7,799.7,44.3806886060407,27.8,57,0.0644,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Amritsar - Pune,3,3803.3,1267.76666666667,66.8240627808257,41.1,56.3333333333333,0.128233333333333,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Raipur,1,1255.6,1255.6,55.9314110219047,38.7,54,0.0386,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Amritsar - Rajkot,2,1994.2,997.1,82.4957465483757,30.2,60,0.09205,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Ranchi,1,1288.6,1288.6,67.3229223184672,36.7,60,0.1225,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Rohtak,5,1685.8,337.16,80.4529904717249,12.02,54.2,0.15462,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Salem,3,5753.1,1917.7,62.9941178269802,58.3333333333333,59.3333333333333,0.117633333333333,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Amritsar - Sonipat,2,718,359,72.1775124320502,12.85,51,0.11335,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Surat,1,961.3,961.3,76.3762978359972,33.6,57,0.2971,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Thiruvananthapuram,1,2105.9,2105.9,73.1785495205379,65.6,60,0.0855,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Amritsar - Tirupati,2,4216.7,2108.35,86.8736320274924,56.05,56.5,0.0825,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Amritsar - Trichy,1,2174.3,2174.3,48.8963829200843,65.6,54,0.0355,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Amritsar - Udaipur,1,882.8,882.8,80.130655945025,25.2,49,0.037,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Vadodara,2,1667,833.5,73.9201028125593,28.35,61,0.2708,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Varanasi,1,1034.7,1034.7,88.3595128847867,28.9,60,0.1023,Normal,Monitor lane performance and maintain current operating plan
Amritsar - Vijayawada,2,3285.4,1642.7,73.2784125207818,45.8,61,0.3194,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Amritsar - Visakhapatnam,4,5681.1,1420.275,59.6550554695913,46.375,59.5,0.234275,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Amritsar,1,1188.6,1188.6,41.6876618012029,38,54,0.0367,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Aurangabad - Bangalore,3,2062.1,687.366666666667,62.7396181753927,24.6666666666667,52.6666666666667,0.144366666666667,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Belgaum,2,823.8,411.9,71.0367140286897,15.45,51.5,0.0817,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Bhopal,2,823.2,411.6,81.3653717400862,14.95,51,0.08515,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Bilaspur,1,593.6,593.6,97.0419115625981,20.4,60,0.167,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Chandigarh,2,2465.3,1232.65,67.7940804712143,36.2,53.5,0.0572,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Chennai,2,1547.7,773.85,62.4575665587322,27.6,53,0.07315,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Coimbatore,3,2704.5,901.5,67.7042963596504,28.2666666666667,58,0.0762666666666667,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Delhi,3,3165.1,1055.03333333333,64.7759163002464,33,48.6666666666667,0.0624333333333333,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Durgapur,3,3615.6,1205.2,66.0971126074517,35.5,58.6666666666667,0.183066666666667,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Faridabad,2,1712,856,73.081609574377,29.35,54.5,0.10185,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Guntur,1,555,555,80.0762132041023,19,58,0.0964,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Gurgaon,1,951.7,951.7,89.5659901544757,30.4,52,0.0728,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Guwahati,1,1751.5,1751.5,82.3197896625295,47.2,60,0.127,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Aurangabad - Gwalior,1,761.7,761.7,98.0816549214414,21.3,58,0.1238,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Hubli,2,977.4,488.7,59.5815551492054,16.9,51,0.1477,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Hyderabad,2,754.8,377.4,89.8398123637198,14.25,54,0.2846,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Indore,1,347.3,347.3,87.6480472004928,12.4,47,0.0474,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Jabalpur,2,1035.5,517.75,81.3095364710656,18.85,54,0.1313,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Jaipur,3,2772.4,924.133333333333,75.2857321082154,27.8,44,0.0469333333333333,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Jalandhar,2,2022.3,1011.15,77.5353788782476,33.65,61,0.1068,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Kanpur,1,720.1,720.1,74.9571350467692,24.5,58,0.0669,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Kochi,1,876.7,876.7,58.3987791597901,30.2,60,0.0756,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Aurangabad - Kolkata,3,4173.2,1391.06666666667,61.5487460061277,42.3,52,0.244466666666667,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Lucknow,2,1679.6,839.8,56.7955690831121,28.55,56,0.11315,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Aurangabad - Ludhiana,3,3789.8,1263.26666666667,78.5216383499107,36.5333333333333,53,0.0519,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Madurai,1,838.8,838.8,53.842511359427,30.2,62,0.417,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Mangalore,1,672.4,672.4,100,21.6,58,0.0818,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Nagpur,1,355.4,355.4,100,13.6,55,0.1547,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Nashik,1,159.7,159.7,65.9711417696336,7.6,42,0.047,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Noida,1,832.7,832.7,64.6637166434862,29.5,55,0.0793,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Panipat,3,3008.5,1002.83333333333,81.8063952584164,30.2666666666667,57.3333333333333,0.0732,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Patna,1,1086.5,1086.5,100,34.8,55,0.0896,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Prayagraj,1,678.6,678.6,68.3634298607443,24.3,60,0.198,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Pune,1,220.8,220.8,83.6618283192297,8.4,48,0.0529,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Raipur,1,597.4,597.4,68.4824963508774,18.6,60,0.2775,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Rajkot,1,532.8,532.8,81.4636994733055,17,55,0.2317,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Ranchi,1,1036.4,1036.4,79.6757512379673,32,55,0.0432,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Rohtak,2,2019.7,1009.85,82.1638843992835,29.8,55.5,0.0853,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Salem,3,2556.4,852.133333333333,62.7005429927917,26.6666666666667,59.6666666666667,0.197933333333333,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Aurangabad - Siliguri,1,1219.9,1219.9,97.192089063836,39.3,62,0.1106,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Sonipat,4,3381.1,845.275,73.1220799590151,28.4,59.5,0.10145,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Surat,2,585.9,292.95,98.3342421285992,11.2,50.5,0.06915,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Tirupati,1,770,770,78.5777328306794,24.4,53,0.051,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Udaipur,2,1031.5,515.75,78.518893130745,18.2,51,0.12315,Normal,Monitor lane performance and maintain current operating plan
Aurangabad - Varanasi,1,845.3,845.3,93.3974397764441,27.2,60,0.1127,Normal,Monitor lane performance and maintain current operating plan
Bangalore - Ahmedabad,3,3521.3,1173.76666666667,54.391391654279,36.5666666666667,54.3333333333333,0.178233333333333,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Bangalore - Belgaum,1,439.3,439.3,74.949018911836,15.9,50,0.0638,Normal,Monitor lane performance and maintain current operating plan
Bangalore - Bhopal,2,2153.8,1076.9,67.2328155681517,33.9,54.5,0.1261,Normal,Monitor lane performance and maintain current operating plan
Bangalore - Bilaspur,3,3740.7,1246.9,74.4138512478857,37.2,47.6666666666667,0.0494666666666667,Normal,Monitor lane performance and maintain current operating plan
Bangalore - Chandigarh,1,1906.3,1906.3,81.6055191927605,57.9,52,0.0649,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Bangalore - Coimbatore,3,610,203.333333333333,64.8702548363726,8.26666666666667,51.6666666666667,0.0827333333333333,Normal,Monitor lane performance and maintain current operating plan
Bangalore - Durgapur,2,3038.1,1519.05,64.7517992664043,47.9,50,0.0475,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Bangalore - Faridabad,1,1687.1,1687.1,90.1353269911075,50.8,52,0.0753,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Bangalore - Ghaziabad,3,4653.2,1551.06666666667,62.5151605939485,50.6333333333333,53.3333333333333,0.0774666666666667,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Bangalore - Guntur,2,904.8,452.4,78.581806743877,16.35,50.5,0.06635,Normal,Monitor lane performance and maintain current operating plan
